id,name,sex,type,nazi-weight,time?,chapter
IGFL,Interessengemeinschaft Fahrten und Lager,NA,2,2,,5
DJS,Deutscher Jugendbund Sturmvogel,NA,2,2,,5
IM,Innenministerium (Bundesland?),NA,2,0,,5
AFPA,Antifaschistische Pressearchiv,NA,3,0,,5
BZB,Bildungszentrum Berlin,NA,2,0,,5
AGGG,Artgemeinschaft – Germanische Glaubens-Gemeinschaft wesensgemäßer Lebensgestaltung,NA,2,2,,5
JUR,Jürgen Rieger,2,1,2,,5
WON,Wolfgang Nahrath,2,1,2,,5
NAC,Nahrath-Clan,NA,2,2,,5
RAW,Ralf Wohlleben,2,1,2,,5
RW,Race War (Skinhead-Band),NA,3,2,,5
SYS,Sylvia Stolz,1,1,2,,5
RAN,Raoul Nahrath,2,1,2,,5
MAS,Mädelsache (Buch),NA,3,0,,6
ANS,Andreas Speit,2,1,0,,6
ANR,Andrea Röpke,1,1,0,,6
STK,Störkraft (Rechtsrock-Band),NA,3,2,,6
NAM,17- und 18-jährige Nazi-Mädchen,1,1,1,,6
TAP,Tanja Privenau (junge Aussteigerin),1,1,1,,6
RNF,Ring Nationaler Frauen,NA,2,2,,6
AKM,Arbeitskreis Mädelschar,NA,2,2,,6
DD,Düütsche Deerns,NA,2,2,,6
NPDT,NPD-Treffen,NA,4,2,,6
UDP,Udo Pastörs,2,1,2,,6
SIS,Sigrid Schüssel,1,1,2,,6
BEZ,Beate Zschäpe,1,1,3,,6
UWM,Uwe Mundlos,2,1,3,,6
UWB,Uwe Böhnhardt,2,1,3,,6
FDV,Fest der Völker (Rechtsrock-Festival),NA,4,2,,6
TIB,Tino Brandt,2,1,2,,6
HOA,Holger Apfel,2,1,2,,6
TOL,Torsten Lemmer,2,1,2,,6
HNL,Hamlet / Naziline (Theaterstück),NA,3,0,,6
CHS,Christoph Schlingensief,2,1,0,,6
KSE,Kameradschaft Erdingen,NA,2,2,,7
KSA,Kameradschaft Augsburg,NA,2,2,,7
KSF,Kameradschaft Freising,NA,2,2,,7
SZ,Süddeutsche Zeitung,NA,3,0,,7
FBSF,Felix Benneckenstein Freundin Corinna (Name geändert),1,1,1,,7
FBSV,Felix Benneckenstein Vater,2,1,NA,,7
FBSM,Felix Benneckenstein Mutter,1,1,NA,,7
C,Christoph (Name geändert) ,2,1,1,,7
M,Max (Name geändert),2,1,1,,7
S,Steffen (Name geändert),2,1,1,,7
NOB,Norman Bordin,2,1,2,,7
KSAS,Kameradschaft Süd – Aktionsbüro Süddeutschland,NA,2,2,,7
AN,Autonome Nationalisten,NA,2,2,,7
HAN,Handbuch der Autonomen Nationalisten,NA,3,2,,7
PNKJ,Punks aus dem Jugendzentrum,NA,1,0,,7
IND,Inder (Nachbar von Felix und Corinna),2,1,0,,7
ETT,Erdinger Tage der Toleranz (Stadtfest),NA,4,0,,7
PNKS,Punks auf dem Stadtfest  „Tage der Toleranz“,NA,1,0,,7
BEA,Beamter auf Stadtfest,2,1,0,,7
KSDR,Kameradschaft Dresden,NA,2,2,,7
VRZF,"Vater Redeker Zweite Freundin, Stiefmutter von Heidi",1,1,2,,7
MIB,Michael Berger,2,1,2,,7
KSDO,Kameradschaft Dortmund,NA,2,2,,7
FRB,Friedhelm Busse „SS-Siggi“,2,1,3,,7
KLF,"Kameraden, die sich auf „Linken Flügel“ der NSDAP beriefen",NA,1,1,,7
RGR,"Rechte Gewalt in Rostock (Ausschreitungen, 22. - 26.8.1992)",NA,4,NA,,8
RGM,Rechte Gewalt in Mölln (23.11.1992),NA,4,1,,8
RGS,Rechte Gewalt in Solingen (29.5.1993),NA,4,1,,8
MAW,Martin Wiese,2,1,2,,8
KSM,Kameradschaft München,NA,2,2,,8
FNM,Freie Nationalisten München,NA,2,2,,8
DR,Die Rechte,NA,2,2,,8
DDW,Der Dritte Weg,NA,2,2,,8
ANA,Antifa-Aktivisten,NA,2,0,,8
AH,Adolf Hitler,2,1,3,,8
USA,United States of America,NA,4,0,,8
JUD,Juden,NA,4,0,,8
WST,„Der Westen“,NA,4,0,,8
AUSL,"Ausländer, Migranten",NA,1,0,,8
JKNG,Junge aus Kongo in Hauptschule,2,1,0,,8
ISL,"Islamd, bzw. (vermeintliche) Islamisierung Deutschlands",NA,4,0,,8
PAD,Pädophile,NA,1,0,,8
ANM,Annett Müller,1,1,2,,8
THF,Thiazi-Forum (rechte Internetplattform),NA,4,3,,8
ALM,Altermedia (rechte Internetplattform),NA,4,2,,8
TFRB,Thiazi-Forum-User: „Fritz Brand“,2,1,2,,8
TFO,Thiazi-Forum-Userin: „Osiris“,1,1,2,,8
TFS,Thiazi-Forum-Userin: „Siglinde“,1,1,2,,8
HEG,Hermann Göring,2,1,3,,8
MAB,Martin Bormann,2,1,3,,8
RUH,Rudolf Heß,2,1,3,,8
HAR,Hanna Reisch,1,1,2,,8
NSFD,Niederschlesisches Feriendorf von VR,NA,4,0,,9
SSW,"Stiefschwester von Heidi, Tochter von VR zweiter Freundin",1,1,1,,9
DTS,Deutsche Stimme (Zeitung der NPD),NA,3,2,,9
SLE,Sleipnir (Rechtsrock-Band),NA,3,2,,9
MDR,"Mitteldeutscher Rundfunk, Sendung Exakt",NA,4,0,,9
RHB,Reiterhof in Brandenburg,NA,4,2,,9
JGL,Jugendleite,NA,4,2,,9
EHFA,Ein Haus für alle (Buch),NA,3,0,,10
URW,Ursula Wölfel,1,1,0,,10
VDB,Versand der Bewegung (Rechter Online-Shop),NA,4,2,,10
NPDP,NPD Passau,NA,2,2,,11
VNPDP,Vorsitzender NPD Passau,2,1,2,,11
FNPDP,Junge Frau in der NPD Passau,1,1,1,,11
EFNPDP,Ehefrau in NPD Passau,1,1,2,,11
EMNPDP,Ehemann in NPD Passau,2,1,2,,11
VSH,Vier-Sterne-Hotel in Passau,NA,4,0,,11
