id,name,sex,category,naziweight,degreeweight
USA,United States of America,6,4,0,0
JUD,Juden,6,4,0,0
WST,Der Westen,6,4,0,0
AUSL,Ausländer,6,0,0,0
JKNG,Kongolese,2,0,0,0
ISL,Islam,6,4,0,0
PAD,Pädophile,6,0,0,0
THF,Thiazi Forum,6,4,3,0
ALM,Altermedia,6,4,2,0
TFRB,Fritz Brand,2,0,2,0
TFO,Osiris,1,0,2,0
TFS,Siglinde,1,0,2,0
HEG,Hermann Göring,2,0,3,0
MAB,Martin Bormann,2,0,3,0
RUH,Rudolf Heß,2,0,3,0
HAR,Hanna Reisch,1,0,2,0
NSFD,Niederschlesisches Feriendorf,6,4,0,11
WSF,HDJ Wintersonnwendfeier,6,4,0,0
SSW,Stiefschwester,1,0,1,0
DTS,Deutsche Stimme,6,3,2,0
SLE,Sleipnir Rechtsrock Band,6,3,2,0
MDR,Mitteldeutscher Rundfunk,6,4,0,0
RHB,Reiterhof,6,4,2,0
JGL,Jugendleiter,6,4,2,10
EHFA,Ein Haus für alle,6,3,0,0
VDB,Versand der Bewegung,6,4,2,0
KAJ,Albaner,2,0,0,0
NPDP,NPD Passau,6,2,2,0
VNPDP,Vorsitzender NPD Passau,2,0,2,0
FNPDP,Junge Frau in NPD Passau,1,0,1,0
EFNPDP,Ehefrau in NPD Passau,1,0,2,0
EMNPDP,Ehemann in NPD Passau,2,0,2,0
VSH,Vier Sterne Hotel,6,4,0,0
CVSH,Chef Vier Sterne Hotel,2,0,0,0
KEFBS,Felix Kumpel 1,2,0,6,0
JAMIG,Gefängnisinsaßen,2,0,0,0
KVDW,KVDW,6,3,2,0
BAF,Bock auf Freiheit,6,3,2,0
FBSBE,Felix Bruder 1,2,0,0,0
FBSBZ,Felix Bruder 2,2,0,0,0
FBSBD,Felix Bruder 3,2,0,0,0
UDV,Udo Voigt,2,0,2,0
THW,Thomas Wulff Steiner,2,0,2,0
FFRB,Frau Busse,1,0,6,0
ANTF,Antifa-Fotograf,2,0,0,0
PRF,Pro Familia,6,2,0,0
BBS,Baby Fehlgeburt,6,0,0,0
MIM,Michael Müller,2,0,2,0
PHH,Philipp Hasselbach,2,0,2,0
C,Cindy,1,0,1,0
KZFBS,Felix Kumpel 2,2,0,2,0
BIAS,Bürgerinitiative Ausländerstopp,6,2,2,0
KAR,Karl Richter,2,0,2,0
KHS,Karl Heinz Starnberger,2,0,2,0
NS,Nationalsozialismus,0,4,3,0
EXIT,Exit,6,2,0,0
ABAY,Aussteigerhilfe Bayern,6,2,0,0
ENK,Eltern von Nina,1,0,0,0
ZEIT,Zeit Online,6,3,0,0
SPO,Spiegel Online,6,3,0,0
KNSG,Konsumgesellschaft,6,4,0,0
EMKF,Emanzipierte Karriere Frauen,1,0,0,0
BTG,Betreuungsgeld,6,4,0,0
NPDLT,NDP MdL,1,0,2,0
PNKM,Punkerin,1,0,0,0
FHU,Ferienhaus Ungarn,6,4,0,0
LHFS,Hotelfachschüler,6,0,0,0
RZ,Russischer Zöllner,2,0,0,0
KKM,Klassenkameradinnen,1,0,0,0
TLA,Typ vom Liederabend,2,0,2,0
VVS,Verfassungsschutz,6,2,0,0
VS,Vater Steffen,2,0,0,0
