id,name,sex,type,Nazi-weight
RNF,Ring Nationaler Frauen,5,2,2
AKM,Arbeitskreis Mädelschar,5,2,2
DD,Düütsche Deerns,5,2,2
NPDT,NPD Treffen,5,4,2
UDP,Udo Pastörs,2,1,2
SIS,Sigrid Schüssel,1,1,2
BEZ,Beate Zschäpe,1,1,3
UWM,Uwe Mundlos,2,1,3
UWB,Uwe Böhnhardt,2,1,3
FDV,Fest der Völker Rechtsrock Festival,5,4,2
TTNJ,Thüringentag der Nationalen Jugend,5,2,5
TIB,Tino Brandt,2,1,2
HOA,Holger Apfel,2,1,2
TOL,Torsten Lemmer,2,1,2
HNL,Hamlet Naziline Theaterstück,5,3,0
CHS,Christoph Schlingensief,2,1,0
KSE,Kameradschaft Erding,5,2,2
KSA,Kameradschaft Augsburg,5,2,2
KSF,Kameradschaft Freising,5,2,2
SZ,Süddeutsche Zeitung,5,3,0
FBSF,Felix Benneckenstein Freundin Corinna Name geändert,1,1,1
FBSV,Felix Benneckenstein Vater,2,1,0
FBSM,Felix Benneckenstein Mutter,1,1,0
CHR,Christoph Name geändert,2,1,1
M,Max Name geändert,2,1,1
S,Steffen Name geändert,2,1,1
NOB,Norman Bordin,2,1,2
KSAS,Kameradschaft Süd Aktionsbüro Süddeutschland,5,2,2
AN,Autonome Nationalisten,5,2,2
HAN,Handbuch der Autonomen Nationalisten,5,3,2
PNKJ,Punks aus dem Jugendzentrum,5,1,0
IND,Inder Nachbar von Felix und Corinna,2,1,0
ETT,Erdinger Tage der Toleranz Stadtfest,5,4,0
PNKS,Punks auf dem Stadtfest  Tage der Toleranz,5,1,0
BEA,Beamter auf Stadtfest,2,1,0
KSDR,Kameradschaft Dresden,5,2,2
VRZF,Vater Redeker Zweite Freundin Stiefmutter von Heidi,1,1,2
MIB,Michael Berger,2,1,2
KSDO,Kameradschaft Dortmund,5,2,2
FRB,Friedhelm Busse SS Siggi,2,1,3
KLF,Kameraden die sich auf Linken Flügel der NSDAP beriefen,5,1,1
RGR,Rechte Gewalt in Rostock,5,4,5
RGM,Rechte Gewalt in Mölln,5,4,1
RGS,Rechte Gewalt in Solingen,5,4,1
AMSY,Attentat Münchner Synagoge,5,4,5
MAW,Martin Wiese,2,1,2
KSM,Kameradschaft München,5,2,2
FNM,Freie Nationalisten München,5,2,2
DR,Die Rechte,5,2,2
DDW,Der Dritte Weg,5,2,2
ANA,Antifa Aktivisten,5,2,0
AH,Adolf Hitler,2,1,3
USA,United States of America,5,4,0
JUD,Juden,5,4,0
WST,Der Westen,5,4,0
AUSL,Ausländer,5,1,0
JKNG,Junge aus Kongo in Hauptschule,2,1,0
ISL,Islam bzw vermeintliche Islamisierung Deutschlands,5,4,0
PAD,Pädophile,5,1,0
ANM,Annett Müller,1,1,2
THF,Thiazi Forum rechte Internetplattform,5,4,3
ALM,Altermedia rechte Internetplattform,5,4,2
TFRB,Thiazi Forum User Fritz Brand,2,1,2
TFO,Thiazi Forum Userin Osiris,1,1,2
TFS,Thiazi Forum Userin Siglinde,1,1,2
HEG,Hermann Göring,2,1,3
MAB,Martin Bormann,2,1,3
RUH,Rudolf Heß,2,1,3
HAR,Hanna Reisch,1,1,2
NSFD,Niederschlesisches Feriendorf von VR,5,4,0
WSF,Wintersonnwendfeier der HDJ,5,4,0
SSW,Stiefschwester von Heidi Tochter von VR zweiter Freundin,1,1,1
DTS,Deutsche Stimme Zeitung der NPD,5,3,2
SLE,Sleipnir Rechtsrock Band,5,3,2
MDR,Mitteldeutscher Rundfunk Sendung Exakt,5,4,0
RHB,Reiterhof in Brandenburg,5,4,2
JGL,Jugendleite,5,4,2
EHFA,Ein Haus für alle Buch,5,3,0
URW,Ursula Wölfel,1,1,0
VDB,Versand der Bewegung Rechter Online Shop,5,4,2
KAJ,Kosovo Albaner Junge der im Zug hilft,2,1,0
NPDP,NPD Passau,5,2,2
VNPDP,Vorsitzender NPD Passau,2,1,2
FNPDP,Junge Frau in der NPD Passau,1,1,1
EFNPDP,Ehefrau in NPD Passau,1,1,2
EMNPDP,Ehemann in NPD Passau,2,1,2
VSH,Vier Sterne Hotel in Passau,5,4,0
CVSH,Chef des Vier Sterne Hotels in Passau,2,1,0
KEFBS,Kumpel Eins von Felix Benneckenstein,2,1,5
JAMIG,Junge ausländische Männer im Gefängnis,2,1,0
KVDW,KVDW Lied von FBS,5,3,2
BAF,Bock auf Freiheit Album von FBS,5,3,2
FBSBE,Felix Benneckenstein Bruder Eins Downsyndrom,2,1,0
FBSBZ,Felix Benneckenstein Bruder Zwei,2,1,0
FBSBD,Felix Benneckenstein Bruder Drei,2,1,0
